ID,Daily ticket Full Price,Month pass_Cost,Year pass_Price
1160,6.6,63,567
1161,6.6,63,567
1159,6.6,63,567
1158,6.6,63,567
1157,6.6,63,567
1156,6.6,63,567
1155,6.6,63,567
1153,6.6,63,567
1154,6.6,63,567
1151,6.6,63,567
1150,6.6,63,567
1145,6.6,63,567
1146,6.6,63,567
1147,6.6,63,567
1148,6.6,63,567
1149,6.6,63,567
1141,6.6,63,567
1139,6.6,63,567
1137,6.6,63,567
1134,6.6,63,567
1135,6.6,63,567
1130,6.6,63,567
1128,6.6,63,567
1125,6.6,63,567
1123,6.6,63,567
1121,6.6,63,567
1118,6.6,63,567
1117,6.6,63,567
1099,6.6,63,567
1076,6.6,63,567
1075,6.6,63,567
116,57.2,340,3860
1068,6.6,63,567
1064,6.6,63,567
1053,6.6,63,567
1041,6.6,63,567
1040,6.6,63,567
1039,6.6,63,567
1027,6.6,63,567
1025,6.6,63,567
1018,6.6,63,567
1014,6.6,63,567
94,27.6,229,2061
1011,6.6,63,567
1010,6.6,63,567
1008,6.6,63,567
1005,6.6,63,567
102,39.2,277,2493
1006,6.6,63,567
1003,6.6,63,567
1001,6.6,63,567
997,6.6,63,567
995,6.6,63,567
996,6.6,63,567
148,34.8,257,2313
992,6.6,63,567
988,6.6,63,567
984,6.6,63,567
978,6.6,63,567
979,6.6,63,567
974,6.6,63,567
971,6.6,63,567
970,6.6,63,567
969,6.6,63,567
968,6.6,63,567
967,6.6,63,567
966,6.6,63,567
961,6.6,63,567
959,6.6,63,567
958,6.6,63,567
956,6.6,63,567
954,6.6,63,567
947,6.6,63,567
946,6.6,63,567
943,6.6,63,567
944,6.6,63,567
945,6.6,63,567
942,6.6,63,567
941,6.6,63,567
940,6.6,63,567
934,6.6,63,567
932,6.6,63,567
931,6.6,63,567
930,6.6,63,567
925,6.6,63,567
926,6.6,63,567
927,6.6,63,567
922,6.6,63,567
920,6.6,63,567
918,6.6,63,567
916,6.6,63,567
912,6.6,63,567
907,6.6,63,567
196,34.8,257,2313
905,6.6,63,567
903,6.6,63,567
904,6.6,63,567
899,6.6,63,567
888,6.6,63,567
887,6.6,63,567
886,6.6,63,567
32,23.2,199,1791
875,6.6,63,567
864,6.6,63,567
856,6.6,63,567
874,6.6,63,567
867,6.6,63,567
865,6.6,63,567
855,6.6,63,567
680,6.6,63,567
872,6.6,63,567
870,6.6,63,567
869,6.6,63,567
862,6.6,63,567
857,6.6,63,567
395,23.2,199,1791
808,6.6,63,567
848,6.6,63,567
929,6.6,63,567
881,6.6,63,567
962,6.6,63,567
913,6.6,63,567
928,6.6,63,567
894,6.6,63,567
1020,6.6,63,567
244,41.2,340,3860
965,6.6,63,567
964,6.6,63,567
1038,6.6,63,567
892,6.6,63,567
955,6.6,63,567
973,6.6,63,567
1049,6.6,63,567
1065,6.6,63,567
1122,6.6,63,567
1140,6.6,63,567
1144,6.6,63,567
1152,6.6,63,567
1142,12.8,88,792
1143,12.8,88,792
1138,12.8,88,792
1136,12.8,88,792
1133,12.8,88,792
1132,12.8,88,792
1131,12.8,88,792
1129,12.8,88,792
1127,12.8,88,792
431,23.2,199,1791
1126,12.8,88,792
1124,12.8,88,792
1119,12.8,88,792
1113,12.8,88,792
1114,12.8,88,792
1115,12.8,88,792
1103,12.8,88,792
1104,12.8,88,792
1105,12.8,88,792
1106,12.8,88,792
1107,12.8,88,792
1108,12.8,88,792
1109,12.8,88,792
1110,12.8,88,792
1111,12.8,88,792
1100,12.8,88,792
1098,12.8,88,792
1093,12.8,88,792
1094,12.8,88,792
1095,12.8,88,792
1096,12.8,88,792
1097,12.8,88,792
1090,12.8,88,792
1085,12.8,88,792
1086,12.8,88,792
1087,12.8,88,792
1088,12.8,88,792
263,34.4,294,2729
1089,12.8,88,792
1079,12.8,88,792
1080,12.8,88,792
1081,12.8,88,792
1082,12.8,88,792
1083,12.8,88,792
1084,12.8,88,792
1074,12.8,88,792
1071,12.8,88,792
1072,12.8,88,792
1073,12.8,88,792
1069,12.8,88,792
294,34.8,257,2313
1070,12.8,88,792
1067,12.8,88,792
1066,12.8,88,792
259,38.2,335,2729
1063,12.8,88,792
1056,12.8,88,792
176,18.4,163,1467
1057,12.8,88,792
189,34.4,335,2729
1058,12.8,88,792
1059,12.8,88,792
1060,12.8,88,792
1061,12.8,88,792
1052,12.8,88,792
204,43.2,304,2516
1051,12.8,88,792
1050,12.8,88,792
1046,12.8,88,792
437,30,335,2729
1047,12.8,88,792
1045,12.8,88,792
1042,12.8,88,792
1043,12.8,88,792
1037,12.8,88,792
1036,12.8,88,792
1033,12.8,88,792
1032,12.8,88,792
1031,12.8,88,792
1030,12.8,88,792
1028,12.8,88,792
1029,12.8,88,792
1026,12.8,88,792
1024,12.8,88,792
1023,12.8,88,792
1019,12.8,88,792
1017,12.8,88,792
1016,12.8,88,792
1015,12.8,88,792
1012,12.8,88,792
1013,12.8,88,792
1009,12.8,88,792
1007,12.8,88,792
1004,12.8,88,792
1002,12.8,88,792
999,12.8,88,792
1000,12.8,88,792
998,12.8,88,792
994,12.8,88,792
991,12.8,88,792
989,12.8,88,792
990,12.8,88,792
987,12.8,88,792
986,12.8,88,792
985,12.8,88,792
678,14,126,1134
982,12.8,88,792
983,12.8,88,792
981,12.8,88,792
980,12.8,88,792
977,12.8,88,792
976,12.8,88,792
975,12.8,88,792
972,12.8,88,792
963,12.8,88,792
960,12.8,88,792
957,12.8,88,792
953,12.8,88,792
951,12.8,88,792
679,14,126,1134
708,14,126,1134
952,12.8,88,792
948,12.8,88,792
949,12.8,88,792
616,14,126,1134
939,12.8,88,792
938,12.8,88,792
937,12.8,88,792
936,12.8,88,792
935,12.8,88,792
933,12.8,88,792
923,12.8,88,792
924,12.8,88,792
921,12.8,88,792
919,12.8,88,792
917,12.8,88,792
915,12.8,88,792
914,12.8,88,792
911,12.8,88,792
910,12.8,88,792
909,12.8,88,792
908,12.8,88,792
807,23.2,199,1791
776,23.2,199,1791
749,23.2,199,1791
676,14,126,1134
673,23.2,199,1791
669,23.2,199,1791
208,38.2,335,2729
627,34.8,257,2313
906,12.8,88,792
902,12.8,88,792
900,12.8,88,792
901,12.8,88,792
897,12.8,88,792
656,14,126,1134
898,12.8,88,792
896,12.8,88,792
895,12.8,88,792
843,18.4,163,1467
893,12.8,88,792
891,12.8,88,792
889,12.8,88,792
890,12.8,88,792
885,12.8,88,792
884,12.8,88,792
883,12.8,88,792
87,54.4,304,2736
822,18.4,163,1467
882,12.8,88,792
878,12.8,88,792
877,12.8,88,792
860,12.8,88,792
861,12.8,88,792
859,12.8,88,792
858,12.8,88,792
873,12.8,88,792
851,12.8,88,792
849,12.8,88,792
847,12.8,88,792
846,12.8,88,792
844,12.8,88,792
841,12.8,88,792
840,12.8,88,792
839,12.8,88,792
837,12.8,88,792
838,12.8,88,792
834,12.8,88,792
824,12.8,88,792
871,12.8,88,792
868,12.8,88,792
863,12.8,88,792
854,12.8,88,792
853,12.8,88,792
850,12.8,88,792
845,12.8,88,792
835,12.8,88,792
836,12.8,88,792
829,12.8,88,792
827,12.8,88,792
818,12.8,88,792
814,12.8,88,792
665,23.2,199,1791
660,14,126,1134
659,14,126,1134
654,14,126,1134
651,18.4,163,1467
646,14,126,1134
630,14,126,1134
624,14,126,1134
621,14,126,1134
617,14,126,1134
609,14,126,1134
608,14,126,1134
607,14,126,1134
606,14,126,1134
604,14,126,1134
596,34.8,257,2313
590,14,126,1134
587,14,126,1134
581,14,126,1134
582,14,126,1134
553,37.2,335,2729
548,18.4,163,1467
542,34.8,257,2313
812,12.8,88,792
811,12.8,88,792
809,12.8,88,792
805,12.8,88,792
804,12.8,88,792
803,12.8,88,792
801,12.8,88,792
798,12.8,88,792
797,12.8,88,792
791,12.8,88,792
790,12.8,88,792
788,12.8,88,792
784,12.8,88,792
783,12.8,88,792
780,12.8,88,792
779,12.8,88,792
778,12.8,88,792
775,12.8,88,792
771,12.8,88,792
766,12.8,88,792
765,12.8,88,792
618,14,126,1134
762,12.8,88,792
761,12.8,88,792
758,12.8,88,792
757,12.8,88,792
756,12.8,88,792
750,12.8,88,792
746,12.8,88,792
747,12.8,88,792
748,12.8,88,792
198,34.4,335,2729
742,12.8,88,792
741,12.8,88,792
739,12.8,88,792
737,12.8,88,792
735,12.8,88,792
731,12.8,88,792
730,12.8,88,792
727,12.8,88,792
728,12.8,88,792
726,12.8,88,792
723,12.8,88,792
722,12.8,88,792
719,12.8,88,792
715,12.8,88,792
710,12.8,88,792
711,12.8,88,792
707,12.8,88,792
702,12.8,88,792
701,12.8,88,792
698,12.8,88,792
699,12.8,88,792
696,12.8,88,792
691,12.8,88,792
689,12.8,88,792
690,12.8,88,792
687,12.8,88,792
681,12.8,88,792
675,12.8,88,792
674,12.8,88,792
670,12.8,88,792
667,12.8,88,792
258,27.6,229,2061
664,12.8,88,792
663,12.8,88,792
661,12.8,88,792
536,34.8,257,2313
658,12.8,88,792
648,12.8,88,792
639,12.8,88,792
640,12.8,88,792
634,12.8,88,792
594,22.8,335,2729
631,12.8,88,792
628,12.8,88,792
626,12.8,88,792
597,12.8,88,792
718,12.8,88,792
610,12.8,88,792
706,12.8,88,792
736,12.8,88,792
688,12.8,88,792
683,12.8,88,792
842,12.8,88,792
725,12.8,88,792
704,18.4,163,1467
828,12.8,88,792
876,12.8,88,792
700,18.4,163,1467
709,12.8,88,792
753,12.8,88,792
714,12.8,88,792
126,45.2,340,3860
693,12.8,88,792
672,12.8,88,792
657,12.8,88,792
653,12.8,88,792
623,12.8,88,792
620,12.8,88,792
703,12.8,88,792
744,12.8,88,792
647,12.8,88,792
666,12.8,88,792
785,12.8,88,792
692,12.8,88,792
879,12.8,88,792
950,12.8,88,792
880,12.8,88,792
1035,12.8,88,792
1048,12.8,88,792
1054,12.8,88,792
1055,12.8,88,792
1062,12.8,88,792
652,18.4,163,1467
1077,12.8,88,792
1078,12.8,88,792
1091,12.8,88,792
1092,12.8,88,792
287,35.2,340,3860
644,18.4,163,1467
1101,12.8,88,792
643,18.4,163,1467
1102,12.8,88,792
1120,12.8,88,792
1044,12.8,88,792
638,18.4,163,1467
637,18.4,163,1467
1116,12.8,88,792
636,18.4,163,1467
993,12.8,88,792
1021,12.8,88,792
632,18.4,163,1467
1022,12.8,88,792
629,18.4,163,1467
1034,12.8,88,792
1112,12.8,88,792
866,14,126,1134
622,23.2,199,1791
619,18.4,163,1467
852,14,126,1134
614,23.2,199,1791
833,14,126,1134
832,14,126,1134
831,14,126,1134
605,18.4,163,1467
603,18.4,163,1467
601,18.4,163,1467
830,14,126,1134
826,14,126,1134
821,14,126,1134
820,14,126,1134
819,14,126,1134
810,14,126,1134
815,14,126,1134
800,14,126,1134
579,18.4,163,1467
578,18.4,163,1467
577,18.4,163,1467
106,54.4,304,2736
575,18.4,163,1467
795,14,126,1134
796,14,126,1134
572,23.2,199,1791
571,18.4,163,1467
48,52.4,340,3860
569,18.4,163,1467
570,18.4,163,1467
568,14,126,1134
563,18.4,163,1467
564,18.4,163,1467
427,18.4,163,1467
193,36,340,3860
561,18.4,340,1467
560,18.4,163,1467
793,14,126,1134
787,14,126,1134
551,18.4,163,1467
550,14,126,1134
786,14,126,1134
547,18.4,163,1467
545,23.2,199,1791
544,23.2,199,1791
543,18.4,340,1467
540,18.4,340,1467
781,14,126,1134
538,23.2,199,1791
537,18.4,163,1467
302,25.6,211,1899
533,23.2,199,1791
532,33.2,335,2729
43,52.4,340,3860
530,18.4,163,1467
483,27.6,229,2061
528,14,126,1134
527,18.4,163,1467
69,41.2,265,2385
76,41.2,265,2385
524,18.4,163,1467
523,14,126,1134
522,14,126,1134
521,18.4,163,1467
55,48.8,308,2772
520,23.2,199,1791
518,33.2,335,2729
519,23.2,199,1791
516,14,126,1134
777,14,126,1134
774,14,126,1134
514,18.4,163,1467
513,22.8,335,2729
512,22.8,335,2729
510,14,126,1134
511,14,126,1134
509,30,335,2729
507,23.2,199,1791
504,23.2,199,1791
503,18.4,163,1467
363,25.6,211,1899
599,23.2,199,1791
593,23.2,199,1791
500,18.4,163,1467
457,18.4,163,1467
387,25.6,211,1899
409,25.6,211,1899
495,34.8,257,2313
493,18.4,163,1467
491,18.4,163,1467
490,23.2,199,1791
773,14,126,1134
767,14,126,1134
489,34.8,257,2313
488,18.4,163,1467
486,30,335,2729
484,18.4,163,1467
768,14,126,1134
485,18.4,163,1467
482,14,126,1134
479,23.2,199,1791
478,23.2,199,1791
394,25.6,211,1899
428,25.6,211,1899
474,38.2,335,2729
473,27.6,229,2061
472,33.2,335,2729
471,38.2,335,2729
385,14,126,1134
470,34.8,257,2313
468,22.8,335,2729
469,38.2,335,2729
466,22.8,335,2729
380,25.6,211,1899
769,14,126,1134
463,38.2,335,2729
584,23.2,199,1791
462,27.6,229,2061
461,23.2,199,1791
460,30,335,2729
459,30,335,2729
455,35.2,335,2729
456,27.6,229,2061
454,22.8,335,2729
452,18.4,163,1467
453,23.2,199,1791
450,23.2,199,1791
449,22.8,335,2729
448,18.4,163,1467
447,23.2,199,1791
355,25.6,211,1899
445,23.2,199,1791
443,33.2,335,2729
442,23.2,199,1791
440,18.4,163,1467
441,27.6,229,2061
439,18.4,163,1467
438,38.2,335,2729
435,14,126,1134
433,23.2,199,1791
430,14,126,1134
429,14,126,1134
369,25.6,211,1899
424,23.2,199,1791
422,22.8,335,2729
770,14,126,1134
421,34.8,257,2313
420,38.2,335,2729
418,34.4,294,2729
419,23.2,199,1791
417,23.2,199,1791
416,30,335,2729
415,18.4,163,1467
413,23.2,199,1791
763,14,126,1134
412,38.2,335,2729
410,30,335,2729
206,51.2,327,2943
405,38.2,335,2729
404,27.6,229,2061
402,23.2,199,1791
401,23.2,199,1791
400,18.4,163,1467
399,27.6,229,2061
751,14,126,1134
101,61.2,336,3020
397,30,335,2729
218,37.6,252,2268
392,18.4,163,1467
391,38.2,335,2729
390,38.2,335,2729
389,35.2,335,2729
3,134.4,340,3860
384,34.8,257,2313
383,38.2,335,2729
381,23.2,199,1791
752,14,126,1134
743,14,126,1134
382,34.8,257,2313
225,32.4,222,1998
375,35.2,335,2729
529,18.4,163,1467
374,38.2,335,2729
740,14,126,1134
372,30,335,2729
63,67.2,319,2861
738,14,126,1134
368,31.6,335,2729
366,22.8,335,2729
365,34.8,257,2313
555,18.4,163,1467
364,38.2,335,2729
362,23.2,199,1791
361,23.2,199,1791
360,30,335,2729
359,38.2,335,2729
358,22.8,335,2729
357,38.2,335,2729
356,38.2,335,2729
354,38.2,335,2729
158,45.2,278,2502
732,14,126,1134
351,34.8,257,2313
733,14,126,1134
734,14,126,1134
346,38.2,335,2729
729,14,126,1134
721,14,126,1134
345,38.2,335,2729
343,38.2,335,2729
342,37.2,335,2729
341,38.2,335,2729
340,23.2,199,1791
339,23.2,199,1791
337,37.2,335,2729
335,27.6,229,2061
716,14,126,1134
396,41.2,265,2385
332,30,335,2729
333,27.6,229,2061
331,38.2,335,2729
330,23.2,199,1791
328,30,335,2729
713,14,126,1134
327,38.2,335,2729
325,34.8,257,2313
323,30,335,2729
320,34.4,294,2729
321,38.2,335,2729
318,23.2,199,1791
315,23.2,199,1791
314,27.6,229,2061
312,38.2,335,2729
313,34.8,257,2313
712,14,126,1134
310,38.2,335,2729
308,34.8,257,2313
307,34.4,294,2729
305,38.2,335,2729
303,34.4,294,2729
299,34.8,257,2313
297,38.2,335,2729
697,14,126,1134
295,37.2,335,2729
296,23.2,199,1791
289,38.2,335,2729
284,38.2,335,2729
285,38.2,335,2729
281,34.8,257,2313
279,39.2,277,2493
278,38.2,335,2729
694,14,126,1134
275,38.2,335,2729
276,34.8,257,2313
272,34.8,257,2313
271,34.8,257,2313
267,38.2,335,2729
266,34.8,257,2313
264,38.2,335,2729
260,34.8,257,2313
255,38.2,335,2729
398,41.2,265,2385
246,34.8,257,2313
388,41.2,265,2385
238,39.2,277,2493
235,37.2,335,2729
187,39.2,252,2268
221,34.8,257,2313
105,57.2,312,2871
213,25.6,210,1772
684,14,126,1134
74,59.2,319,2871
54,52,304,2736
167,43.6,292,2628
162,39.2,172,1548
66,67.2,312,2889
136,54,308,2772
671,14,126,1134
817,14,126,1134
813,14,126,1134
806,14,126,1134
799,14,126,1134
