ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
1160,144,142,139,569
1161,300,142,263,1245
1159,41,152,40,197
1158,142,210,77,673
1157,139,221,127,696
1156,49,223,88,292
1155,51,227,95,299
1153,52,230,90,302
1154,52,230,90,302
1151,170,232,243,927
1150,102,237,116,479
1145,55,239,92,314
1146,55,239,92,314
1147,55,239,92,314
1148,55,239,92,314
1149,55,239,92,314
1141,56,249,88,331
1139,208,255,211,1006
1137,97,264,95,356
1134,124,270,96,351
1135,134,270,95,532
1130,143,289,99,569
1128,124,297,103,351
1125,124,303,104,351
1123,130,335,113,399
1121,189,342,177,776
1118,123,355,112,475
1117,127,356,112,474
1099,131,377,118,501
1076,263,408,173,1723
1075,100,412,261,634
116,2702,4708,9201,49980
1068,110,424,133,634
1064,192,445,140,1019
1053,245,460,144,995
1041,232,500,158,1554
1040,117,501,151,667
1039,219,506,145,1503
1027,313,595,357,1912
1025,192,613,177,814
1018,217,636,355,1611
1014,177,660,187,875
94,2765,5019,9003,48339
1011,178,664,188,881
1010,147,666,220,939
1008,193,677,197,944
1005,147,687,250,885
102,2852,4875,9148,48053
1006,147,687,250,885
1003,153,700,250,944
1001,127,712,254,846
997,270,738,380,1383
995,202,739,204,984
996,202,739,204,984
148,2787,4347,8329,46192
992,271,746,382,1389
988,393,757,361,1721
984,279,777,390,1432
978,292,797,427,1706
979,292,797,427,1706
974,352,806,439,2542
971,276,829,449,1742
970,215,833,458,1647
969,316,836,404,2000
968,289,842,451,1757
967,290,844,451,1760
966,290,845,452,1764
961,215,867,261,1532
959,319,873,393,2007
958,649,888,654,3026
956,249,890,493,1647
954,571,898,528,2570
947,225,926,277,1608
946,646,927,657,3016
943,317,936,525,2531
944,317,936,525,2531
945,269,936,420,2001
942,256,939,413,1467
941,320,951,530,2563
940,322,969,532,2577
934,638,994,681,2964
932,252,1001,368,1302
931,451,1002,552,3298
930,314,1009,493,2255
925,703,1013,692,2847
926,703,1013,692,2847
927,575,1013,536,2631
922,532,1018,675,3960
920,365,1031,571,2604
918,374,1050,576,2654
916,693,1072,584,2756
912,289,1085,512,2116
907,256,1095,481,1857
196,2716,4049,8748,45717
905,251,1107,382,1810
903,309,1108,469,2214
904,822,1108,854,4119
899,287,1117,514,2104
888,496,1148,774,3652
887,901,1154,961,4792
886,902,1159,964,4798
32,2425,5819,6695,42072
875,279,1197,532,2035
864,764,1246,770,3790
856,817,1303,874,4337
874,526,1200,751,3823
867,565,1235,731,4052
865,581,1239,740,4103
855,589,1306,791,4179
680,995,1913,1448,6990
872,293,1213,443,2075
870,342,1222,507,2488
869,331,1226,566,2433
862,397,1258,495,2677
857,349,1293,444,2241
395,2170,3170,6677,41131
808,530,1624,644,3552
848,818,1366,871,4332
929,770,1010,811,4083
881,569,1186,721,4036
962,577,865,792,4014
913,488,1077,688,3765
928,450,1011,555,3287
894,703,1127,692,2847
1020,329,624,568,2425
244,2669,3780,6988,39578
965,290,845,452,1764
964,218,849,462,1669
1038,219,506,145,1503
892,286,1128,405,1472
955,209,895,315,1209
973,185,810,338,1170
1049,239,475,149,974
1065,155,432,171,894
1122,130,335,113,399
1140,56,249,88,331
1144,55,239,92,314
1152,52,230,90,302
1142,165,245,183,866
1143,165,245,183,866
1138,174,263,184,878
1136,225,265,282,1355
1133,225,272,294,1272
1132,174,275,196,923
1131,250,278,253,1452
1129,103,293,102,398
1127,297,298,376,2185
431,1945,2996,5607,36695
1126,172,300,118,929
1124,236,325,293,1430
1119,290,351,369,2144
1113,153,371,151,523
1114,153,371,151,523
1115,153,371,151,523
1103,286,372,364,2115
1104,282,372,261,1579
1105,282,372,261,1579
1106,282,372,261,1579
1107,282,372,261,1579
1108,282,372,261,1579
1109,282,372,261,1579
1110,282,372,261,1579
1111,282,372,261,1579
1100,192,377,144,1019
1098,153,382,151,523
1093,285,385,264,1597
1094,285,385,264,1597
1095,285,385,264,1597
1096,285,385,264,1597
1097,360,385,264,4000
1090,156,386,154,544
1085,223,396,221,1124
1086,156,396,154,544
1087,156,396,154,544
1088,156,396,154,544
263,2158,3720,6589,35435
1089,156,396,154,544
1079,297,404,275,1660
1080,297,404,275,1660
1081,297,404,275,1660
1082,297,404,275,1660
1083,297,404,275,1660
1084,297,404,275,1660
1074,147,415,154,569
1071,293,417,272,1641
1072,293,417,272,1641
1073,293,417,272,1641
1069,219,418,224,1107
294,2301,3571,6979,34439
1070,219,418,224,1107
1067,225,428,236,1115
1066,226,432,237,1121
259,2146,3729,6262,33297
1063,417,451,407,2869
1056,405,459,364,1701
176,1889,4183,4992,32314
1057,309,459,262,1717
189,2000,4086,5672,31552
1058,309,459,262,1717
1059,309,459,262,1717
1060,309,459,262,1717
1061,309,459,262,1717
1052,358,469,451,2546
204,2314,3964,6246,31104
1051,237,471,240,1159
1050,415,472,354,1822
1046,355,481,454,2530
437,1904,2949,5730,30809
1047,360,481,454,3000
1045,241,491,244,1188
1042,242,497,245,1197
1043,242,497,245,1197
1037,339,518,406,2218
1036,444,523,443,2819
1033,342,535,409,2242
1032,390,541,335,1701
1031,426,553,357,1762
1030,445,569,503,2811
1028,352,577,417,2308
1029,352,577,417,2308
1026,338,606,327,1541
1024,304,613,299,1911
1023,378,616,430,2658
1019,508,635,526,3133
1017,438,646,522,2902
1016,446,648,527,2900
1015,475,659,355,3103
1012,336,661,314,1462
1013,336,661,314,1462
1009,491,667,329,3132
1007,340,684,385,1986
1004,437,699,362,1781
1002,506,701,522,3122
999,544,713,537,3319
1000,544,713,537,3319
998,229,726,308,1720
994,428,741,365,1734
991,584,748,492,3489
989,489,752,546,3049
990,454,752,355,2979
987,524,758,517,3617
986,408,761,329,2132
985,252,777,236,1058
678,1872,1919,3844,30694
982,580,782,566,3486
983,580,782,566,3486
981,557,783,553,3672
980,241,789,267,1237
977,470,800,342,3047
976,589,805,557,3848
975,373,806,399,1897
972,482,825,337,3079
963,175,862,220,1233
960,535,868,595,3377
957,410,890,444,2006
953,445,899,503,2811
951,576,900,571,3834
679,1871,1915,3843,30688
708,1704,1856,3650,30132
952,576,900,571,3834
948,549,925,608,3639
949,549,925,608,3639
616,1671,2146,3590,30102
939,448,977,500,2836
938,195,980,255,1384
937,598,981,596,3941
936,544,984,519,3323
935,521,991,538,3207
